cluster_ids	ids	response	scaled_scores	s1_score_scaled	s3_score_scaled	s1_score	s3_score	sentences				
354	348182	'5'	1.35	1.3	1.4	'5'	'4'	"I primi due film TV sono stati trasmessi dalla NBC, il terzo dalla CBS."		58		
355	355430	'5'	0.35	1.3	-0.6	'5'	'2'	L’8 gennaio 2018 inizia la settima edizione sempre con la conduzione di Paolo Bonolis.		59		
356	356124	'5'	-0.15	1.3	-1.6	'5'	'1'	Questo format era già stato sperimentato nel novembre 2007 ma abbandonato dopo poco tempo.		59		
357	354161	'3'	-0.15	-0.7	0.4	'3'	'3'	Dal 2 maggio 2016 lo spazio dedicato al TG5 non va più in onda.		59		
358	354206	'4'	0.35	0.3	0.4	'4'	'3'	L elenco che segue concerne invece le puntate realizzate durante la gestione di Giovanni Minoli.		59		
359	354929	'5'	0.85	1.3	0.4	'5'	'3'	Astrolove è un programma televisivo che fa parte del palinsesto di Real Time dal 2013.		59		
360	358910	'5'	0.85	1.3	0.4	'5'	'3'	"In questo programma la conduttrice per lanciare il riepilogo dei progetti usa dire """"Ricap!""""."		59		
361	360599	'4'	-0.15	0.3	-0.6	'4'	'2'	Agli US Open esce al primo turno di qualificazioni contro la greca Maria Sakkari.		60		
362	365950	'4'	0.85	0.3	1.4	'4'	'4'	Nonostante la sconfitta toccò il suo best ranking della carriera salendo fino alla seconda posizione.		60		
363	365970	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Fino alla finale l Errani, partendo dalle qualificazioni, ha incontrato solo tenniste americane battendole tutte."		60		
364	360192	'5'	0.85	1.3	0.4	'5'	'3'	Anche a Los Angeles raggiunge la semifinale in cui viene sconfitto da Stefan Edberg.		60		
365	363383	'2'	-0.65	-1.7	0.4	'2'	'3'	"In carriera ha vinto un titolo nel singolare, il WTA Swiss Open nel 1976."		60		
366	360660	'5'	1.35	1.3	1.4	'5'	'4'	"Ha raggiunto la 27a posizione della classifica mondiale nel settembre 2016, suo attuale best ranking."		60		
367	370083	'3'	-0.15	-0.7	0.4	'3'	'3'	Dal 1998 la Libera università di lingue e comunicazione IULM porta il nome attuale.		61		
368	371454	'2'	-1.65	-1.7	-1.6	'2'	'1'	"L Accademia ha correntemente circa 900 studenti, almeno un quarto di essi è straniero."		61		
369	366511	'4'	0.35	0.3	0.4	'4'	'3'	"La Middlesex University è un università che si trova nel nord di Londra, Inghilterra."		61		
370	371792	'3'	0.35	-0.7	1.4	'3'	'4'	"Attualmente, i Membri dell ICRANet sono quattro stati e tre università e centri di ricerca."		61		
371	370838	'5'	0.35	1.3	-0.6	'5'	'2'	L università è governata da un consiglio di facoltà e da un consiglio d amministrazione.		61		
372	366937	'5'	1.35	1.3	1.4	'5'	'4'	Nel periodo 1874-1961 è stata l unica università del paese ad attribuire titoli accademici.		61		
373	373915	'5'	0.85	1.3	0.4	'5'	'3'	I Big Daddy sono i grossi protettori rinchiusi in scafandri corazzati che vigilano sulle Sorelline.		62		
374	376031	'3'	-0.15	-0.7	0.4	'3'	'3'	"Al contrario di Xiaomu, Saya è dalla parte dell organizzazione rivale della Shinra: Ouma."		62		
375	374926	'5'	0.85	1.3	0.4	'5'	'3'	Questo è tuttavia l unico capitolo in cui Lara non guida veicoli di alcun tipo.		62		
376	374245	'5'	0.85	1.3	0.4	'5'	'3'	"Il gioco contiene una versione elettronica de ""Il volo del calabrone"", di Nikolai Rimsky-Korsakov."		62		
377	375245	'4'	0.35	0.3	0.4	'4'	'3'	Bomberman è l unico che può fronteggiare Wario e riportare l equilibrio nel suo mondo.		62		
378	373856	'5'	0.35	1.3	-0.6	'5'	'2'	"Realizzato nel 2002, ""Crusader"" riscosse subito un grande plauso fra i fan del precedente capitolo."		62		
379	381238	'1'	-1.65	-2.7	-0.6	'1'	'2'	"Nella stagione 2006-07 torna in Germania, con il Dürener Turnverein 1847, debuttando in 1."		63		
380	380693	'5'	0.35	1.3	-0.6	'5'	'2'	"Per il campionato 2017-18 veste la maglia del Volley Milano, sempre in Serie A1."		63		
381	382181	'2'	0.35	-1.7	2.4	'2'	'5'	"Nel gennaio 2013 passa alla Pallavolo Motta di Motta di Livenza, sempre in Serie B1."		63		
382	381433	'4'	-0.65	0.3	-1.6	'4'	'1'	"Giulia Pincerato inizia la sua carriera pallavolistica nella squadra giovanile di Legnaro, nel 1999."		63		
383	378432	'3'	-0.15	-0.7	0.4	'3'	'3'	A soli 16 anni debutta in Serie A1 nel San Lazzaro Pallavolo nella stagione 1985-86.		63		
384	379910	'5'	0.35	1.3	-0.6	'5'	'2'	La carriera di İpek Soroğlu inizia nel 2002 tra le file del Galatasaray Spor Kulübü.		63		
